data,quantidade
2022-05-03,1800
2022-05-03,45
2022-05-03,4602
2022-05-03,1308
2022-05-03,1491
2022-05-03,45
2022-05-04,390
2022-05-04,4290
2022-05-04,5001
2022-05-04,750
2022-05-04,1404
2022-05-04,75
2022-05-04,3300
2022-05-04,300
2022-05-05,45
2022-05-05,60
2022-05-05,381
2022-05-05,255
2022-05-05,705
2022-05-05,120
2022-05-05,-300
2022-05-05,14004
2022-05-05,120
2022-05-05,1617
2022-05-05,3000
2022-05-06,9660
2022-05-06,90
2022-05-06,1620
2022-05-06,435
2022-05-06,5958
2022-05-06,810
2022-05-07,1050
2022-05-09,66
2022-05-09,540
2022-05-09,2700
2022-05-09,5013
2022-05-09,921
2022-05-10,540
2022-05-10,750
2022-05-10,4452
2022-05-10,4125
2022-05-10,810
2022-05-10,1401
2022-05-10,300
2022-05-11,360
2022-05-11,720
2022-05-11,240
2022-05-11,300
2022-05-11,2349
2022-05-11,3540
2022-05-11,216
2022-05-11,1800
2022-05-11,600
2022-05-11,75
2022-05-12,60
2022-05-12,600
2022-05-12,240
2022-05-12,300
2022-05-12,240
2022-05-12,9045
2022-05-12,9
2022-05-12,600
2022-05-12,2040
2022-05-12,1401
2022-05-12,360
2022-05-13,6300
2022-05-13,1371
2022-05-13,312
2022-05-13,210
2022-05-13,21
2022-05-14,270
2022-05-14,2220
2022-05-16,60
2022-05-16,1200
2022-05-16,699
2022-05-16,240
2022-05-16,600
2022-05-16,11433
2022-05-17,81
2022-05-17,150
2022-05-17,1056
2022-05-17,1305
2022-05-17,900
2022-05-17,4332
2022-05-18,210
2022-05-18,2544
2022-05-18,1650
2022-05-18,201
2022-05-18,1401
2022-05-19,1701
2022-05-19,300
2022-05-19,4470
2022-05-19,4071
2022-05-19,318
2022-05-19,120
2022-05-19,57
2022-05-19,240
2022-05-20,1425
2022-05-20,600
2022-05-20,3582
2022-05-20,1401
2022-05-20,30
2022-05-20,45
2022-05-20,450
2022-05-20,1704
2022-05-20,90
2022-05-23,900
2022-05-23,840
2022-05-23,1311
2022-05-23,4500
2022-05-24,1350
2022-05-24,30
2022-05-24,1575
2022-05-24,0
2022-05-24,2100
2022-05-24,1701
2022-05-24,11415
2022-05-25,10533
2022-05-25,975
2022-05-25,180
2022-05-25,1086
2022-05-25,990
2022-05-25,4932
2022-05-26,360
2022-05-26,450
2022-05-26,780
2022-05-26,150
2022-05-26,120
2022-05-26,1500
2022-05-26,60
2022-05-26,1578
2022-05-26,1401
2022-05-26,3183
2022-05-27,1260
2022-05-27,1500
2022-05-27,5595
2022-05-28,2769
2022-05-28,411
2022-05-28,6
2022-05-30,8385
2022-05-30,654
2022-05-30,180
2022-05-30,1926
2022-05-30,4500
2022-05-31,1569
2022-05-31,4179
2022-05-31,15
2022-05-31,10770
2022-05-31,903
2022-05-31,240
2022-06-01,60
2022-06-01,75
2022-06-01,375
2022-06-01,1575
2022-06-01,60
2022-06-01,1101
2022-06-02,1905
2022-06-02,540
2022-06-02,2049
2022-06-02,150
2022-06-02,150
2022-06-03,270
2022-06-03,1140
2022-06-03,900
2022-06-03,5334
2022-06-03,150
2022-06-03,-21
2022-06-03,861
2022-06-06,360
2022-06-06,1701
2022-06-06,690
2022-06-06,474
2022-06-06,4110
2022-06-06,30
2022-06-07,360
2022-06-07,1527
2022-06-07,90
2022-06-07,12759
2022-06-07,1395
2022-06-07,999
2022-06-07,90
2022-06-08,954
